DATE;2018;2016;2012;2010
ARIZONA;0.508700102354145;0.43138292244207;0.484124489154354;0.37059136920618
CALIFORNIA;0.656670113753878;0.690810810810811;0.625;0.552966101694915
CONNECTICUT;0.600606673407482;0.646048461302525;0.559959349593496;0.560683065663753
FLORIDA;0.499;0.458333333333333;0.566735112936345;0.292372268056159
HAWAI;0.711;0.767798466593647;0.626;0.776198381406931
INDIANA;0.469302809573361;0.44868810833686;0.530534351145038;0.422893985836592
MARYLAND;0.673662119622246;0.630592377796189;0.675155355184599;0.634980600367572
MISSOURI;0.469072164948454;0.485403369258135;0.582579065062294;0.42831541218638
NEVADA;0.526096033402923;0.513239620791108;0.493596820490174;0.530261493040911
NEW YORK;0.665;0.722144321000971;0.732751623376623;0.710913140311804
NORTH DAKOTA;0.445;0.17778941854374;0.504620329449578;0.225648854961832
OHIO;0.532;0.39037714045593;0.531446540880503;0.409350649350649
PENNSYLVANIA;0.565615462868769;0.492560607637083;0.546286876907426;0.4899
UTAH;0.33048128342246;0.28421384308371;0.316457023060797;0.347397434538323
VERMONT;0.710970464135021;0.649734647460197;0.740354535974974;0.67541190051422
WASHINGTON;0.587;0.5901;0.6045;0.5236
WISCONSIN;0.554;0.482474226804124;0.528528837257119;0.475525889967638